"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.119155493E0,4.818199575E-2,7.951938510E-1,-5.776494741E-1
1.129155493E0,6.284276396E-2,3.498730659E-1,-7.034876943E-1
1.139155493E0,1.428661048E-1,-2.658790946E-1,-6.619488597E-1
1.149155493E0,2.125047445E-1,-9.152288437E-1,-4.347069860E-1
1.159155493E0,1.782962978E-1,-1.334282398E0,-2.648864388E-1
1.169155493E0,3.535382450E-2,-1.334893227E0,-4.188244939E-1
1.179155493E0,-1.931097806E-1,-1.058782220E0,-7.004333735E-1
1.189155493E0,-4.576144218E-1,-5.163338780E-1,-9.148470759E-1
1.199155493E0,-6.475934982E-1,4.005748928E-1,-1.090165377E0
1.209155493E0,-6.298784018E-1,1.666287661E0,-1.104826212E0
1.219155493E0,-4.191299081E-1,2.822655678E0,-9.295078516E-1
1.229155493E0,-4.711298272E-2,3.577074051E0,-7.242571115E-1
1.239155493E0,5.875760317E-1,3.641215086E0,-6.039166451E-1
1.249155493E0,1.354211926E0,2.712699890E0,-5.147303343E-1
1.259155493E0,1.831297636E0,9.326385260E-1,-3.284164369E-1
1.269154993E0,1.732337475E0,-8.321511745E-1,-6.940956414E-2
1.279154993E0,1.294347048E0,-2.058157682E0,9.185886383E-2
1.289154993E0,8.636870980E-1,-2.793639421E0,2.012037337E-1
1.299154993E0,6.584363580E-1,-3.245068789E0,2.812270820E-1
1.309155026E0,6.590472460E-1,-3.398396015E0,2.470186353E-1
1.319155059E0,7.610617280E-1,-3.206584454E0,1.596648991E-1
1.329155059E0,8.838456273E-1,-2.752711535E0,1.169043332E-1
1.339155059E0,9.620364308E-1,-2.164448261E0,1.260673106E-1
1.349155059E0,9.516516924E-1,-1.598787069E0,1.407280862E-1
1.359155059E0,8.355873227E-1,-1.172403097E0,1.059087589E-1
1.369155059E0,6.504951119E-1,-9.292787313E-1,2.832887508E-2
1.379155059E0,4.464661479E-1,-8.132143617E-1,-7.490734756E-2
1.389155059E0,2.662608922E-1,-7.228062749E-1,-1.640936732E-1
1.399155059E0,1.343140006E-1,-6.189591885E-1,-2.092977017E-1
1.409155059E0,5.490151420E-2,-5.322163701E-1,-2.325105816E-1
1.419155059E0,4.199698567E-3,-4.644103050E-1,-2.465604842E-1
1.429155059E0,-3.550654277E-2,-4.094324410E-1,-2.453387529E-1
1.439155059E0,-5.383250117E-2,-3.880521357E-1,-2.490039468E-1
1.449155059E0,-5.199990422E-2,-3.923282027E-1,-2.630538344E-1
1.459155059E0,-4.528038576E-2,-4.027129114E-1,-2.740494311E-1
1.469155059E0,-4.161519557E-2,-4.118759036E-1,-2.880993187E-1
1.479155059E0,-3.550654277E-2,-4.314235747E-1,-2.935971022E-1
1.489155059E0,-2.634356357E-2,-4.631885588E-1,-2.874884605E-1
1.499155092E0,-2.084577642E-2,-4.912883639E-1,-2.880993187E-1
1.509155092E0,-1.718058437E-2,-5.175555944E-1,-2.954297066E-1
1.519155092E0,-2.084577642E-2,-5.316054821E-1,-3.070361316E-1
1.529155092E0,-3.611740842E-2,-5.138903856E-1,-3.216969073E-1
1.539155092E0,-5.810855702E-2,-4.625777006E-1,-3.369685411E-1
1.549155092E0,-6.788240373E-2,-4.075998366E-1,-3.479641080E-1
1.559155125E0,-4.711298272E-2,-3.623957932E-1,-3.473532498E-1
1.569155625E0,5.345070967E-4,-3.379611969E-1,-3.314707577E-1
1.579155625E0,3.779728711E-2,-3.269656301E-1,-3.094795942E-1
1.589155625E0,3.168863431E-2,-3.068070710E-1,-2.832123935E-1
1.599155625E0,-1.901318133E-2,-2.438879460E-1,-2.453387529E-1
1.609155591E0,-5.871942267E-2,-1.504255682E-1,-2.105194330E-1
1.619155557E0,-3.733913973E-2,-6.062837690E-2,-1.866956949E-1
1.629155557E0,7.750352472E-2,-3.863722831E-2,-1.622610837E-1
1.639155557E0,2.534327209E-1,-9.117163718E-2,-1.146135926E-1
1.649155557E0,4.140902758E-1,-1.443169117E-1,2.588541433E-2
1.659155557E0,4.812854528E-1,-2.176207453E-1,2.476294935E-1
1.669155557E0,4.971679449E-1,-3.959933817E-1,4.803691506E-1
1.679155557E0,5.387067795E-1,-8.535314798E-1,7.369325757E-1
1.689155557E0,5.478697419E-1,-1.690416813E0,1.025260925E0
1.699155557E0,3.914882541E-1,-3.000722885E0,1.330693603E0
1.709155557E0,-5.138903856E-2,-4.697095394E0,1.625130653E0
1.719155557E0,-7.514405847E-1,-6.095366001E0,1.840155244E0
1.729155557E0,-1.367192745E0,-6.631094933E0,1.910404682E0
1.739155557E0,-1.508302689E0,-6.001903534E0,1.827327013E0
1.749155557E0,-1.331151724E0,-4.093560696E0,1.710651755E0
1.759155557E0,-1.470428944E0,-1.961030126E0,1.708208323E0
1.769155557E0,-1.853441477E0,-3.715587854E-1,1.662393451E0
1.779155557E0,-2.105728865E0,6.174320579E-1,1.504179358E0
1.789155557E0,-2.157041550E0,1.085354805E0,1.322141409E0
1.799155523E0,-2.045253277E0,9.711230397E-1,1.143768787E0
1.809155556E0,-1.796020150E0,2.942843437E-1,9.470701814E-1
1.819155556E0,-1.434998870E0,-5.761986375E-1,7.693084478E-1
1.829155556E0,-1.012280107E0,-1.210276723E0,7.454846501E-1
1.839155556E0,-5.156466365E-1,-1.565800309E0,8.755989671E-1
1.849155556E0,-5.871942267E-2,-1.707521081E0,9.941068292E-1
1.859155522E0,2.008983046E-1,-1.669647455E0,9.550114274E-1
1.869155522E0,1.422552466E-1,-1.425912142E0,8.823184967E-1
1.879155522E0,-8.559749275E-2,-1.035569310E0,8.084037900E-1
1.889155522E0,-3.165045679E-1,-4.949535728E-1,6.831763983E-1
1.899155522E0,-4.246276915E-1,-2.275473066E-2,5.567272902E-1
1.909155522E0,-4.289037585E-1,2.606867552E-1,5.255731940E-1
1.919155522E0,-3.745367527E-1,3.132211566E-1,5.829945207E-1
1.929155522E0,-3.751476109E-1,3.724750876E-1,6.294202805E-1
1.939155522E0,-4.496731758E-1,5.080871582E-1,6.477462053E-1
1.949155522E0,-5.180900693E-1,6.296493411E-1,6.251442432E-1
1.959155522E0,-5.700136423E-1,7.438811660E-1,5.732206702E-1
1.969155522E0,-5.810092092E-1,8.306240439E-1,4.840343595E-1
1.979155522E0,-5.486333370E-1,9.002626538E-1,3.826307058E-1
1.989155522E0,-4.838816226E-1,9.589056969E-1,2.848922908E-1
1.999155522E0,-3.720932901E-1,9.381362796E-1,1.963168234E-1
2.009155522E0,-2.279291004E-1,8.294022679E-1,1.138500124E-1
2.019155522E0,-8.743008971E-2,7.023423314E-1,4.726569727E-2
2.029155522E0,6.039930135E-2,5.288565755E-1,2.672535367E-3
2.039155522E0,2.173916698E-1,3.730859458E-1,-7.246389240E-2
2.049155522E0,3.823252916E-1,2.270891517E-1,-1.573741585E-1
2.059155555E0,5.484806299E-1,8.170322329E-2,-2.435061634E-1
2.069155555E0,7.048621178E-1,-6.429356337E-2,-3.278055489E-1
2.079155555E0,8.435285687E-1,-1.650863290E-1,-4.053854346E-1
2.089155555E0,9.540951252E-1,-2.054034323E-1,-4.731914997E-1
