Time (s),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s)
0.304870405,-0.414242983,0.530078292,1.307480693
0.333441833,-0.09903653,0.010231993,1.173090339
0.362013261,0.214337349,0.187382907,0.799240828
0.390584689,0.279089063,0.877660632,0.590324879
0.419156117,0.411035955,1.23257339,0.666683078
0.447727545,0.444022685,1.461036921,0.600709617
0.476298973,0.223500326,1.632079244,0.623922467
0.504870401,0.04757113,1.555110216,0.600098729
0.533441829,0.20395264,0.83856529,0.50358206
0.562013257,0.24060455,0.21120666,0.3215442
0.590584685,0.167911589,0.202043682,0.126067311
0.619156113,0.331012607,0.492204666,-0.098120227
0.647727541,0.443411797,0.72922039,-0.355905354
0.676298969,0.423864126,0.928973317,-0.544051886
0.704870397,0.400651246,0.926529884,-0.511065125
0.733441825,0.450742185,0.457996219,-0.367511809
0.762013253,0.499000549,0.147676677,-0.244117022
0.790584681,0.333456069,0.111635625,-0.250836551
0.819156109,0.425085843,-0.209679499,-0.393168151
0.847727537,1.082376838,-0.782060206,-0.736474395
0.876298965,1.162400246,-0.463188559,-0.715704978
0.904870393,0.459294319,0.771370113,0.040546179
0.933441821,0.57169354,-1.86023736,0.066202521
0.962013249,0.172798499,-1.077108145,-0.882471204
0.990584677,0.707916439,-0.013591751,-0.533056259
1.019156105,0.654771209,-0.673326194,-0.3571271
1.047727533,0.368275374,-0.375223964,-0.256945193
1.076298961,0.579634786,-0.298254967,-0.570319057
1.104870389,0.497778803,-1.058171272,-0.406607181
1.133441817,0.271147817,-1.263422012,-0.246560484
1.162013245,0.18257235,-0.796110153,-0.227623656
1.190584673,0.096440352,-0.662330627,-0.234343186
1.219156101,0.116598904,-0.693484783,-0.268551648
1.247727529,0.144698709,-0.675158799,-0.460363328
1.276298957,0.156305149,-0.80710572,-0.492739171
1.304870385,0.150807351,-0.694095612,-0.506789088
1.333441813,0.084833913,-0.642782927,-0.463417649
1.362013241,-0.085597493,-0.63178736,-0.308868736
1.390584669,-0.228539959,-0.619570076,-0.192193478
1.419156097,-0.2279291,-0.421038866,-0.041309763
1.447727525,-0.270689666,-0.295200616,0.103465304
1.476298953,-0.433790684,-0.114995383,0.283059686
1.504870381,-0.725784242,0.067042463,0.64957881
1.533441809,-1.44171834,0.042607851,1.264720082
1.562013237,-1.990886211,-0.1516473,1.940948009
1.590584665,-1.951179981,-0.140651718,2.234774113
1.619156093,-1.444161773,0.202043682,1.879250526
1.647727521,-0.823522687,-0.152869031,1.553048491
1.676298949,-0.334830523,-0.080786929,1.217683554
1.704870377,-0.04100433,0.164170042,0.962341845
1.733441805,-0.037950002,0.291840881,0.677067757
1.762013233,-0.251141965,0.76892662,0.546342611
1.790584661,-0.248698518,1.06702888,0.55000782
1.819156089,-0.001298089,1.151939154,0.412563115
1.847727517,0.174631104,0.846506536,0.059483003
1.876298945,0.397596925,0.031001411,-0.319864303
1.904870373,0.648662508,-0.723417163,-0.746248245
1.933441801,0.832532942,-0.752127826,-1.066952467
1.962013229,0.803211451,0.017562376,-1.061454773
1.990584657,0.802600563,0.244804248,-0.776180625
2.019156085,0.992579639,-0.208457768,-0.40355286
2.047727513,0.475787669,0.322384119,-0.203799918
2.076298941,0.349338561,-0.221896797,-0.13538301
2.104870369,1.301677465,-0.815657794,-0.543440998
2.133441797,0.101938136,0.949131846,-0.319253445
2.162013225,0.57169354,-0.4363105,-0.121943973
2.190584653,0.522824287,-2.006844997,-0.249614805
2.219156081,0.206396088,-0.869413972,-0.727311432
2.247727509,0.687757909,0.020616703,-0.19646953
2.276298937,0.47212249,-0.898124635,-0.099341959
2.304870365,0.539317667,-0.470518947,-0.187917426
2.333441793,0.520380855,-0.757014751,-0.487241387
2.362013221,0.221056864,-1.160185814,-0.212962896
2.390584649,0.14775303,-0.914007127,-0.105450615
2.419156077,0.183183208,-0.789390624,-0.151876375
2.447727505,0.145920441,-1.053895235,-0.140269935
2.476298933,0.142255247,-1.07527554,-0.227012798
2.504870361,0.109879389,-1.100321054,-0.303981811
2.533441789,0.125151023,-1.211498499,-0.298484027
2.562013217,0.061621033,-1.189507365,-0.337579399
2.590584645,-0.027565295,-1.191950798,-0.277103752
2.619156073,-0.116751619,-1.067945123,-0.098731093
2.647727501,-0.156457856,-0.901789844,0.03443753
2.676298929,-0.136299312,-0.775951564,0.197538555
2.704870357,-0.308563322,-0.810160041,0.542066574
2.733441785,-0.375147611,-0.780227661,0.834060133
2.762013213,-0.831463933,-0.660498023,1.204244494
2.790584641,-1.356808066,-0.650724173,1.430875421
2.819156069,-1.774029016,-0.834594667,1.650176048
2.847727497,-1.674458027,-0.843757629,1.542052984
2.876298925,-1.381242633,-1.30068481,1.366123796
2.904870353,-1.101466417,-1.468061924,0.978224337
2.933441781,-0.777096927,-1.590234995,0.701502383
2.962013209,-0.71662128,-1.173624873,0.518853664
2.990584637,-0.80275327,-0.504116535,0.441273779
3.019156065,-0.874835372,-0.207846895,0.25557074
3.047727493,-0.667752087,-0.202959985,0.133397698
3.076298921,-0.359265119,-0.326354772,0.027107146
3.104870349,-0.162566513,-0.72097373,-0.169591457
3.133441777,0.020082194,-1.001971722,-0.404774576
3.162013205,0.2570979,-1.136972904,-0.673555315
3.190584633,0.444022685,-0.990365267,-0.94661206
3.219156061,0.488004982,-0.576809525,-1.054124355
3.247727489,0.566195726,-0.636063457,-0.719981074
3.276298917,0.743346632,-0.940274358,-0.457919866
3.304870345,0.575358689,-0.506560028,-0.323529512
3.333441773,0.250989258,-0.345902443,-0.344909787
3.362013201,0.876515269,-0.490677506,-0.598418891
3.390584629,0.410425097,-0.339793801,-0.369344413
3.419156057,0.302301943,0.418289989,0.052152619
3.447727485,0.384157866,-1.466840148,0.121791258
3.476298913,0.244269744,-1.744783878,-0.197080404
3.504870341,0.677984059,-1.156520605,-0.340022862
3.533441769,0.48556152,-1.132086039,-0.201356456
3.562013197,0.304134548,-0.721584558,-0.066966102
3.590584625,0.44585526,-0.521831632,-0.155541569
3.619156053,0.541150272,-1.323286891,-0.064522639
3.647727481,0.314519256,-1.919491291,0.103465304
3.676298909,0.196011379,-1.811368227,0.106519625
3.704870337,0.090942562,-1.679421306,0.155388847
3.733441765,0.10560333,-1.636049867,0.164551824
3.762013193,0.14958562,-1.732566595,0.079030693
3.790584621,0.079336122,-1.791820526,0.060704734
3.819156049,-0.003130684,-1.777770638,0.041157044
3.847727477,-0.033673946,-1.735010028,0.0613156
3.876298905,-0.054443367,-1.639104128,0.057039544
3.904870333,-0.110032104,-1.496772528,0.003283401
3.933441761,-0.105145179,-1.349554062,-0.017486017
3.962013189,-0.070936725,-1.358716965,0.001450805
3.990584617,-0.078877978,-1.430188298,0.007559457
4.019156045,-0.143629685,-1.504102945,0.093691453
4.047727473,-0.265191883,-1.524872422,0.165773556
4.076298901,-0.4350124,-1.533424497,0.363083035
4.104870329,-0.33238706,-1.368490815,0.873155534
4.133441757,-0.57428968,-0.979980588,1.247004986
4.162013185,-1.548619747,-0.471740693,1.315421939
4.190584613,-1.987831831,-0.763123393,1.468138218
4.219156041,-2.370844364,-1.139416456,1.462640524
4.247727469,-2.119167805,-1.563356876,1.468138218
4.276298897,-1.447826982,-1.842522264,1.111392975
4.304870325,-0.790535986,-1.598787069,0.716773987
4.333441753,-0.572457075,-1.259756804,0.625144243
4.362013181,-0.46494481,-0.695317388,0.301385641
4.390584609,-0.417908192,-0.367893606,0.178601727
4.419156037,-0.306119859,0.079870634,0.112017415
4.447727465,-0.181503341,0.504421949,-0.005879578
4.476298893,-0.015347989,0.313221157,-0.175089255
4.504870321,0.163024664,-0.313526601,-0.319864303
4.533441749,0.271147817,-0.841314137,-0.448146015
4.562013177,0.374384046,-0.896292031,-0.650342405
4.590584605,0.376827508,-0.792444944,-0.842764974
4.619156033,0.378049225,-0.673937082,-0.838488936
4.647727461,0.526489496,-0.718530238,-0.646677196
4.676298889,0.659658134,-0.811992645,-0.43348524
4.704870317,0.580856502,-0.967152417,-0.299705774
4.733441745,0.276034743,-0.763734281,-0.257556051
4.762013173,0.616897523,-0.649502456,-0.517784655
4.790584601,0.899728119,-0.564592183,-0.450589478
4.819156029,-0.139353633,0.250302047,0.140728086
4.847727457,0.644997358,-1.231657028,0.151723653
4.876298885,0.421420664,-2.000736475,-0.249614805
4.904870313,0.543593705,-1.777159691,-0.369344413
4.933441741,0.62117362,-1.458288074,-0.190971747
4.962013169,0.232052431,-1.00258255,-0.003436117
4.990584597,0.401872963,-0.652556777,-0.088346384
5.019156025,0.574136972,-1.282358885,-0.150654644
5.047727453,0.312686652,-2.016618967,-0.022372939
5.076298881,0.200898305,-1.857183099,0.024052819
5.104870309,0.170355052,-1.487609625,0.033215798
5.133441737,0.10560333,-1.286634922,0.063759059
5.162013165,0.10560333,-1.246928692,-0.034590244
5.190584593,0.093386024,-1.217607141,-0.125609159
5.219156021,0.128205344,-1.210276723,-0.178143576
5.247727449,0.104381599,-1.126588225,-0.26122126
5.276298877,0.05917757,-0.940885186,-0.329027295
5.304870305,0.057955839,-0.670882761,-0.37362045
5.333441733,0.015806139,-0.589637697,-0.387670368
5.362013161,-0.002519819,-0.570700884,-0.326583833
5.390584589,-0.036117408,-0.705702066,-0.207465112
5.419156017,-0.145462289,-0.999528229,-0.072463892
5.447727445,-0.296346009,-1.136362076,-0.002214387
5.476298873,-0.425849438,-1.107040524,0.161497504
5.504870301,-0.625602365,-0.771064639,0.531681836
5.533441729,-0.986623704,-0.449749529,0.796797335
5.562013157,-1.579773903,-0.20112738,1.323363185
5.590584585,-2.098398447,-0.034361169,1.913459063
5.619156013,-2.069687843,-0.119882308,2.168800592
5.647727441,-1.728824973,-0.344680727,2.054569006
5.676298869,-0.876057148,-0.700815141,1.714316964
5.704870297,-0.300622046,-0.223118529,1.43759501
5.733441725,-0.295735151,0.165391758,1.138270974
